"","BlackGeneNames"
"397","TRINITY_DN43660_c0_g1"
"398","TRINITY_DN4070_c0_g1"
"399","TRINITY_DN49408_c0_g1"
"400","TRINITY_DN29185_c0_g1"
"401","TRINITY_DN35037_c0_g1"
"402","TRINITY_DN20254_c0_g1"
"403","TRINITY_DN9885_c0_g1"
"404","TRINITY_DN31502_c0_g1"
"405","TRINITY_DN2910_c6_g1"
"406","TRINITY_DN42785_c0_g1"
"407","TRINITY_DN19084_c0_g1"
"408","TRINITY_DN652_c0_g1"
"409","TRINITY_DN7768_c0_g1"
"410","TRINITY_DN24222_c0_g1"
"411","TRINITY_DN20168_c0_g1"
"412","TRINITY_DN347_c0_g1"
"413","TRINITY_DN8694_c0_g1"
"414","TRINITY_DN8348_c0_g1"
"415","TRINITY_DN23594_c0_g1"
"416","TRINITY_DN991_c1_g1"
"417","TRINITY_DN1109_c0_g1"
"418","TRINITY_DN30719_c0_g1"
"419","TRINITY_DN7055_c0_g1"
"420","TRINITY_DN39261_c0_g1"
"421","TRINITY_DN34434_c0_g2"
"422","TRINITY_DN2500_c0_g1"
"423","TRINITY_DN13191_c0_g1"
"424","TRINITY_DN1113_c1_g1"
"425","TRINITY_DN19573_c0_g1"
"426","TRINITY_DN34764_c0_g1"
"427","TRINITY_DN47574_c0_g1"
"428","TRINITY_DN42210_c0_g1"
"429","TRINITY_DN6907_c0_g1"
"430","TRINITY_DN26668_c0_g1"
"431","TRINITY_DN39420_c0_g1"
"432","TRINITY_DN55448_c0_g1"
"433","TRINITY_DN5125_c0_g1"
"434","TRINITY_DN13572_c2_g1"
"435","TRINITY_DN9809_c0_g1"
"436","TRINITY_DN56369_c0_g1"
"437","TRINITY_DN23730_c0_g1"
"438","TRINITY_DN1514_c0_g1"
"439","TRINITY_DN31036_c0_g1"
"440","TRINITY_DN18883_c0_g1"
"441","TRINITY_DN10010_c0_g1"
"442","TRINITY_DN62502_c0_g1"
"443","TRINITY_DN12706_c0_g1"
"444","TRINITY_DN28917_c0_g1"
"445","TRINITY_DN62739_c0_g1"
"446","TRINITY_DN5399_c0_g2"
"447","TRINITY_DN113465_c0_g1"
"448","TRINITY_DN19822_c0_g1"
"449","TRINITY_DN3210_c0_g1"
"450","TRINITY_DN18465_c0_g1"
"451","TRINITY_DN25303_c0_g1"
"452","TRINITY_DN2895_c1_g1"
"453","TRINITY_DN11519_c0_g1"
"454","TRINITY_DN2584_c1_g1"
"455","TRINITY_DN193_c6_g1"
"456","TRINITY_DN2571_c0_g1"
"457","TRINITY_DN8408_c1_g1"
"458","TRINITY_DN27061_c0_g1"
"459","TRINITY_DN33846_c0_g1"
"460","TRINITY_DN31489_c0_g1"
