"","BlueGeneNames"
"376","TRINITY_DN6352_c0_g1"
"377","TRINITY_DN11044_c0_g1"
"378","TRINITY_DN12022_c0_g1"
"379","TRINITY_DN27151_c0_g1"
"380","TRINITY_DN2227_c0_g1"
"381","TRINITY_DN5950_c0_g2"
"382","TRINITY_DN12462_c0_g1"
"383","TRINITY_DN4830_c0_g1"
"384","TRINITY_DN646_c0_g1"
"385","TRINITY_DN43827_c0_g1"
"386","TRINITY_DN9190_c0_g1"
"387","TRINITY_DN11203_c0_g1"
"388","TRINITY_DN10417_c0_g1"
"389","TRINITY_DN3494_c0_g1"
"390","TRINITY_DN9313_c0_g1"
"391","TRINITY_DN30291_c0_g1"
"392","TRINITY_DN15064_c0_g1"
"393","TRINITY_DN77262_c0_g1"
"394","TRINITY_DN5204_c0_g1"
"395","TRINITY_DN1057_c0_g1"
"396","TRINITY_DN6868_c1_g2"
"397","TRINITY_DN4101_c3_g1"
"398","TRINITY_DN2614_c0_g1"
"399","TRINITY_DN17999_c0_g1"
"400","TRINITY_DN1182_c0_g1"
"401","TRINITY_DN9350_c0_g1"
"402","TRINITY_DN10461_c0_g1"
"403","TRINITY_DN18949_c0_g1"
"404","TRINITY_DN38852_c0_g1"
"405","TRINITY_DN15635_c0_g2"
"406","TRINITY_DN10463_c0_g1"
"407","TRINITY_DN928_c0_g2"
"408","TRINITY_DN1836_c0_g1"
"409","TRINITY_DN22434_c0_g1"
"410","TRINITY_DN23187_c0_g1"
"411","TRINITY_DN8565_c0_g1"
"412","TRINITY_DN9804_c0_g1"
"413","TRINITY_DN16727_c0_g1"
"414","TRINITY_DN138_c1_g1"
"415","TRINITY_DN8887_c0_g1"
"416","TRINITY_DN2069_c0_g1"
"417","TRINITY_DN2593_c0_g1"
"418","TRINITY_DN6088_c0_g1"
"419","TRINITY_DN6384_c0_g1"
"420","TRINITY_DN12711_c0_g1"
"421","TRINITY_DN21247_c1_g1"
"422","TRINITY_DN17833_c0_g1"
"423","TRINITY_DN59681_c0_g1"
"424","TRINITY_DN1050_c1_g2"
"425","TRINITY_DN6716_c0_g1"
"426","TRINITY_DN3591_c0_g1"
"427","TRINITY_DN13750_c0_g1"
"428","TRINITY_DN7870_c0_g1"
"429","TRINITY_DN10460_c0_g1"
"430","TRINITY_DN6608_c0_g1"
"431","TRINITY_DN6601_c0_g1"
"432","TRINITY_DN1227_c0_g1"
"433","TRINITY_DN2705_c0_g1"
"434","TRINITY_DN24865_c0_g1"
"435","TRINITY_DN14537_c0_g1"
"436","TRINITY_DN4192_c0_g2"
"437","TRINITY_DN14322_c0_g1"
"438","TRINITY_DN13625_c0_g1"
"439","TRINITY_DN6903_c0_g1"
"440","TRINITY_DN12263_c0_g1"
"441","TRINITY_DN3602_c2_g1"
"442","TRINITY_DN181_c2_g1"
"443","TRINITY_DN22096_c0_g1"
"444","TRINITY_DN27657_c0_g1"
"445","TRINITY_DN24544_c0_g1"
"446","TRINITY_DN1701_c0_g1"
"447","TRINITY_DN22647_c0_g1"
"448","TRINITY_DN8651_c0_g1"
"449","TRINITY_DN1730_c0_g2"
"450","TRINITY_DN15635_c0_g1"
"451","TRINITY_DN13323_c0_g1"
"452","TRINITY_DN26203_c0_g1"
"453","TRINITY_DN1614_c0_g1"
"454","TRINITY_DN11378_c0_g1"
"455","TRINITY_DN429_c0_g1"
"456","TRINITY_DN18201_c0_g1"
"457","TRINITY_DN6577_c0_g1"
"458","TRINITY_DN9034_c0_g1"
"459","TRINITY_DN8365_c0_g1"
"460","TRINITY_DN260_c0_g1"
"461","TRINITY_DN9827_c0_g1"
"462","TRINITY_DN3070_c0_g2"
"463","TRINITY_DN7157_c0_g1"
"464","TRINITY_DN6224_c0_g1"
"465","TRINITY_DN10103_c0_g1"
"466","TRINITY_DN2189_c0_g1"
"467","TRINITY_DN3024_c0_g1"
"468","TRINITY_DN30552_c0_g1"
"469","TRINITY_DN6896_c1_g1"
