"","greenGeneNames"
"400","TRINITY_DN5515_c0_g3"
"401","TRINITY_DN20796_c0_g1"
"402","TRINITY_DN36484_c0_g1"
"403","TRINITY_DN3532_c0_g1"
"404","TRINITY_DN30482_c0_g1"
"405","TRINITY_DN20614_c0_g1"
"406","TRINITY_DN27532_c0_g1"
"407","TRINITY_DN21155_c0_g1"
"408","TRINITY_DN7151_c0_g1"
"409","TRINITY_DN34057_c0_g1"
"410","TRINITY_DN79373_c0_g1"
"411","TRINITY_DN50826_c0_g1"
"412","TRINITY_DN54936_c0_g1"
"413","TRINITY_DN82503_c1_g1"
"414","TRINITY_DN51755_c0_g1"
"415","TRINITY_DN36136_c0_g1"
"416","TRINITY_DN6717_c0_g2"
"417","TRINITY_DN30315_c0_g1"
"418","TRINITY_DN52392_c0_g1"
"419","TRINITY_DN16020_c0_g1"
"420","TRINITY_DN41736_c0_g1"
"421","TRINITY_DN5565_c0_g1"
"422","TRINITY_DN35462_c0_g1"
"423","TRINITY_DN2866_c0_g1"
"424","TRINITY_DN37102_c0_g1"
"425","TRINITY_DN50840_c0_g1"
"426","TRINITY_DN59719_c0_g1"
"427","TRINITY_DN40422_c0_g1"
"428","TRINITY_DN29825_c0_g1"
"429","TRINITY_DN40429_c0_g1"
"430","TRINITY_DN17160_c0_g1"
"431","TRINITY_DN19576_c1_g1"
"432","TRINITY_DN53818_c1_g1"
"433","TRINITY_DN23221_c1_g1"
"434","TRINITY_DN49743_c0_g1"
"435","TRINITY_DN48398_c0_g1"
"436","TRINITY_DN37737_c0_g1"
"437","TRINITY_DN16247_c0_g1"
"438","TRINITY_DN28672_c0_g1"
"439","TRINITY_DN60947_c0_g1"
"440","TRINITY_DN74926_c0_g1"
"441","TRINITY_DN4613_c0_g1"
"442","TRINITY_DN32787_c0_g1"
"443","TRINITY_DN77120_c0_g1"
"444","TRINITY_DN39221_c0_g1"
"445","TRINITY_DN6366_c0_g1"
"446","TRINITY_DN40306_c0_g1"
"447","TRINITY_DN19395_c2_g1"
"448","TRINITY_DN35413_c0_g1"
"449","TRINITY_DN11944_c0_g1"
"450","TRINITY_DN35384_c0_g1"
"451","TRINITY_DN48281_c0_g1"
"452","TRINITY_DN21942_c0_g1"
"453","TRINITY_DN56162_c0_g1"
"454","TRINITY_DN45082_c0_g1"
"455","TRINITY_DN28139_c0_g1"
"456","TRINITY_DN36509_c0_g1"
"457","TRINITY_DN13866_c0_g1"
"458","TRINITY_DN43953_c0_g1"
"459","TRINITY_DN51900_c0_g1"
"460","TRINITY_DN46791_c0_g1"
"461","TRINITY_DN34433_c0_g1"
"462","TRINITY_DN7168_c0_g1"
"463","TRINITY_DN52895_c0_g1"
"464","TRINITY_DN46832_c0_g1"
"465","TRINITY_DN612_c1_g1"
"466","TRINITY_DN15641_c0_g1"
"467","TRINITY_DN44185_c0_g1"
"468","TRINITY_DN8354_c0_g1"
"469","TRINITY_DN80409_c0_g1"
"470","TRINITY_DN10641_c0_g1"
"471","TRINITY_DN28619_c0_g1"
"472","TRINITY_DN34971_c0_g1"
"473","TRINITY_DN54245_c0_g1"
"474","TRINITY_DN64075_c0_g1"
"475","TRINITY_DN12881_c0_g1"
"476","TRINITY_DN36652_c0_g1"
"477","TRINITY_DN56365_c0_g1"
"478","TRINITY_DN37338_c0_g1"
"479","TRINITY_DN39727_c0_g1"
"480","TRINITY_DN33132_c0_g1"
"481","TRINITY_DN47878_c0_g1"
"482","TRINITY_DN46626_c0_g1"
"483","TRINITY_DN41683_c0_g1"
"484","TRINITY_DN18184_c1_g1"
"485","TRINITY_DN48855_c0_g1"
"486","TRINITY_DN6478_c0_g1"
"487","TRINITY_DN32619_c0_g1"
"488","TRINITY_DN34876_c0_g1"
"489","TRINITY_DN59158_c0_g1"
"490","TRINITY_DN50278_c0_g1"
"491","TRINITY_DN44069_c0_g1"
"492","TRINITY_DN67961_c2_g1"
"493","TRINITY_DN39479_c0_g1"
"494","TRINITY_DN28563_c0_g1"
"495","TRINITY_DN48123_c1_g1"
"496","TRINITY_DN39884_c0_g1"
"497","TRINITY_DN39535_c0_g1"
"498","TRINITY_DN59140_c0_g1"
"499","TRINITY_DN49962_c0_g1"
"500","TRINITY_DN11000_c0_g1"
"501","TRINITY_DN14501_c0_g1"
