"","turqGeneNames"
"358","TRINITY_DN4910_c0_g1"
"359","TRINITY_DN6150_c0_g1"
"360","TRINITY_DN2066_c1_g1"
"361","TRINITY_DN35528_c0_g1"
"362","TRINITY_DN1794_c0_g1"
"363","TRINITY_DN2414_c0_g1"
"364","TRINITY_DN13070_c0_g1"
"365","TRINITY_DN1191_c1_g1"
"366","TRINITY_DN4231_c0_g1"
"367","TRINITY_DN1004_c1_g1"
"368","TRINITY_DN28980_c0_g1"
"369","TRINITY_DN1460_c0_g1"
"370","TRINITY_DN6969_c0_g1"
"371","TRINITY_DN7230_c0_g1"
"372","TRINITY_DN17321_c0_g1"
"373","TRINITY_DN7765_c0_g1"
"374","TRINITY_DN10275_c0_g1"
"375","TRINITY_DN2563_c0_g1"
"376","TRINITY_DN2788_c2_g1"
"377","TRINITY_DN4604_c0_g1"
"378","TRINITY_DN2028_c0_g1"
"379","TRINITY_DN22334_c1_g1"
"380","TRINITY_DN7088_c0_g1"
"381","TRINITY_DN1023_c0_g1"
"382","TRINITY_DN4284_c0_g1"
"383","TRINITY_DN784_c0_g1"
"384","TRINITY_DN7318_c0_g1"
"385","TRINITY_DN2195_c0_g1"
"386","TRINITY_DN7264_c0_g1"
"387","TRINITY_DN8114_c0_g1"
"388","TRINITY_DN31360_c0_g1"
"389","TRINITY_DN6681_c0_g1"
"390","TRINITY_DN6923_c0_g1"
"391","TRINITY_DN2206_c0_g1"
"392","TRINITY_DN3541_c0_g1"
"393","TRINITY_DN741_c0_g1"
"394","TRINITY_DN16580_c0_g1"
"395","TRINITY_DN9426_c0_g1"
"396","TRINITY_DN4769_c0_g1"
"397","TRINITY_DN19081_c0_g1"
"398","TRINITY_DN1981_c0_g1"
"399","TRINITY_DN5471_c0_g1"
"400","TRINITY_DN6255_c0_g1"
"401","TRINITY_DN16576_c0_g1"
"402","TRINITY_DN1062_c0_g1"
"403","TRINITY_DN7414_c0_g1"
"404","TRINITY_DN6992_c0_g1"
"405","TRINITY_DN15953_c0_g1"
"406","TRINITY_DN991_c0_g1"
"407","TRINITY_DN6893_c0_g1"
"408","TRINITY_DN2072_c0_g1"
"409","TRINITY_DN3634_c0_g1"
"410","TRINITY_DN9109_c0_g1"
"411","TRINITY_DN17940_c0_g2"
"412","TRINITY_DN3732_c0_g1"
"413","TRINITY_DN2607_c0_g1"
"414","TRINITY_DN8485_c0_g1"
"415","TRINITY_DN1912_c0_g1"
"416","TRINITY_DN21700_c0_g1"
"417","TRINITY_DN9010_c0_g1"
"418","TRINITY_DN20983_c0_g1"
"419","TRINITY_DN8115_c0_g1"
"420","TRINITY_DN4974_c0_g1"
"421","TRINITY_DN8117_c0_g1"
"422","TRINITY_DN15628_c0_g1"
"423","TRINITY_DN1188_c0_g2"
"424","TRINITY_DN15036_c0_g1"
"425","TRINITY_DN4669_c0_g1"
"426","TRINITY_DN3414_c0_g1"
"427","TRINITY_DN1264_c1_g1"
"428","TRINITY_DN5637_c0_g1"
"429","TRINITY_DN8740_c0_g1"
"430","TRINITY_DN3465_c1_g1"
"431","TRINITY_DN2589_c0_g1"
"432","TRINITY_DN1250_c0_g1"
"433","TRINITY_DN1399_c0_g1"
"434","TRINITY_DN9373_c0_g1"
"435","TRINITY_DN5802_c1_g1"
"436","TRINITY_DN14656_c0_g1"
"437","TRINITY_DN6657_c0_g1"
"438","TRINITY_DN13048_c1_g1"
"439","TRINITY_DN2044_c0_g1"
"440","TRINITY_DN7772_c0_g1"
"441","TRINITY_DN7367_c0_g1"
"442","TRINITY_DN2748_c0_g1"
"443","TRINITY_DN5011_c0_g1"
"444","TRINITY_DN2226_c0_g1"
"445","TRINITY_DN1681_c0_g1"
"446","TRINITY_DN7823_c1_g1"
"447","TRINITY_DN7501_c0_g3"
"448","TRINITY_DN26500_c0_g1"
"449","TRINITY_DN3950_c1_g1"
"450","TRINITY_DN13342_c0_g1"
"451","TRINITY_DN4326_c0_g1"
"452","TRINITY_DN1213_c0_g2"
"453","TRINITY_DN15201_c0_g1"
"454","TRINITY_DN9412_c0_g1"
"455","TRINITY_DN833_c0_g1"
"456","TRINITY_DN3793_c0_g1"
"457","TRINITY_DN1717_c0_g1"
"458","TRINITY_DN541_c0_g1"
"459","TRINITY_DN7660_c0_g2"
"460","TRINITY_DN2798_c0_g1"
"461","TRINITY_DN20805_c0_g2"
